1,3898,爸爸,bà ba,名,お父さん,ba4 ba5,45
2,4023,弟弟,dì di,名,弟,di4 di5,45
3,71,地方,dì fang,名,場所 ところ 部分,di4 fang5,45
2,44,告诉,gào su,動,伝える 話す 教える,ga4o su5,45
3,,故事,gù shi,名,物語 話 事の筋,gu4 shi5,45
3,4181,过去,guò qu,名,過去,guo4 qu5,45
1,5,后面,hòu mian,名,(空間の)後ろ 後方． (時間や順序の)あと のちほど,ho4u mian5,45
3,4194,记得,jì de,動,覚えている,ji4 de5,45
3,93,句子,jù zi,名,文,ju4 zi5,45
3,4215,裤子,kù zi,名,ズボン,ku4 zi5,45
3,4216,筷子,kuài zi,名,箸,kua4i zi5,45
3,101,帽子,mào zi,名,帽子,ma4o zi5,45
2,4061,妹妹,mèi mei,名,妹,me4i mei5,45
1,14,那儿,nà r,代,あそこ そこ,na4 r5,45
1,3957,漂亮,piào liang,形,きれいである（見た目が） 見事である,pia4o liang5,45
1,3963,认识,rèn shi,動,見知っている,re4n shi5,45
2,4077,事情,shì qing,名,事 事柄 用件,shi4 qing5,45
3,10357,为了,wèi le,介,…のために,we4i le5,45
3,129,兴趣,xìng qu,名,興味 趣味,xi4ng qu5,45
1,3992,谢谢,xiè xie,他,ありがとう,xie4 xie5,45
2,4103,意思,yì si,名,意味,yi4 si5,45
2,10344,右边,yòu bian,名,右（の方）,yo4u bian5,45
3,137,月亮,yuè liang,名,月（天体の）,yue4 liang5,45
2,4113,丈夫,zhàng fu,名,夫 主人,zha4ng fu5,45
3,4304,照顾,zhào gu,動,世話をする 気を配る,zha4o gu5,45
1,31,这儿,zhè r,代,ここ,zhe4 r5,45
